2026/08/05 19:03:36 INFO  : audios_processados/Clip 12_20260727_152627: Copied (new)
2026/08/05 19:03:36 INFO  : audios_processados/Clip 12_20260805_005248: Copied (new)
2026/08/05 19:03:37 INFO  : audios_processados/Clip 12_20260805_123830: Copied (new)
2026/08/05 19:03:37 INFO  : audios_processados/Clip 13: Copied (new)
2026/08/05 19:03:37 INFO  : audios_processados/Clip 13_20260718_033752: Copied (new)
2026/08/05 19:03:37 INFO  : audios_processados/Clip 13_20260718_100040: Copied (new)
2026/08/05 19:03:38 INFO  : audios_processados/Clip 13_20260718_181426: Copied (new)
2026/08/05 19:03:38 INFO  : audios_processados/Clip 13_20260718_225857: Copied (new)
2026/08/05 19:03:39 INFO  : audios_processados/Clip 12_20260804_150511: Copied (new)
2026/08/05 19:03:39 INFO  : audios_processados/Clip 13_20260718_004731: Copied (new)
2026/08/05 19:03:39 INFO  : audios_processados/Clip 13_20260722_124317: Copied (new)
2026/08/05 19:03:39 INFO  : audios_processados/Clip 13_20260722_181101: Copied (new)
2026/08/05 19:03:40 INFO  : audios_processados/Clip 13_20260723_030354: Copied (new)
2026/08/05 19:03:40 INFO  : audios_processados/Clip 13_20260723_123703: Copied (new)
2026/08/05 19:03:40 INFO  : audios_processados/Clip 13_20260719_154929: Copied (new)
2026/08/05 19:03:40 INFO  : audios_processados/Clip 13_20260720_134453: Copied (new)
2026/08/05 19:03:40 INFO  : audios_processados/Clip 13_20260724_010209: Copied (new)
2026/08/05 19:03:41 INFO  : audios_processados/Clip 13_20260726_132017: Copied (new)
2026/08/05 19:03:41 INFO  : audios_processados/Clip 13_20260726_232622: Copied (new)
2026/08/05 19:03:41 INFO  : audios_processados/Clip 13_20260727_152930: Copied (new)
2026/08/05 19:03:42 INFO  : audios_processados/Clip 13_20260728_132742: Copied (new)
2026/08/05 19:03:42 INFO  : audios_processados/Clip 13_20260730_161421: Copied (new)
2026/08/05 19:03:42 INFO  : audios_processados/Clip 13_20260803_161422: Copied (new)
2026/08/05 19:03:42 INFO  : audios_processados/Clip 13_20260801_121237: Copied (new)
2026/08/05 19:03:42 INFO  : audios_processados/Clip 13_20260804_151448: Copied (new)
2026/08/05 19:03:43 INFO  : audios_processados/Clip 13_20260805_005349: Copied (new)
2026/08/05 19:03:43 INFO  : audios_processados/Clip 13_20260805_124010: Copied (new)
2026/08/05 19:03:43 INFO  : audios_processados/Clip 14: Copied (new)
2026/08/05 19:03:44 INFO  : audios_processados/Clip 14_20260718_182420: Copied (new)
2026/08/05 19:03:44 INFO  : audios_processados/Clip 14_20260718_100508: Copied (new)
2026/08/05 19:03:44 INFO  :    65.735 MiB / 607.873 MiB, 11%, 1.456 MiB/s, ETA 6m12s (xfr#103/1883)
2026/08/05 19:03:44 INFO  : audios_processados/Clip 14_20260718_230052: Copied (new)
2026/08/05 19:03:44 INFO  : audios_processados/Clip 14_20260719_182854: Copied (new)
2026/08/05 19:03:45 INFO  : audios_processados/Clip 14_20260722_124529: Copied (new)
2026/08/05 19:03:45 INFO  : audios_processados/Clip 14_20260720_142353: Copied (new)
2026/08/05 19:03:46 INFO  : audios_processados/Clip 14_20260723_030535: Copied (new)
2026/08/05 19:03:46 INFO  : audios_processados/Clip 14_20260722_181748: Copied (new)
2026/08/05 19:03:46 INFO  : audios_processados/Clip 14_20260723_123804: Copied (new)
2026/08/05 19:03:46 INFO  : audios_processados/Clip 14_20260724_013046: Copied (new)
2026/08/05 19:03:47 INFO  : audios_processados/Clip 14_20260726_132839: Copied (new)
2026/08/05 19:03:47 INFO  : audios_processados/Clip 14_20260727_002921: Copied (new)
2026/08/05 19:03:47 INFO  : audios_processados/Clip 14_20260727_153305: Copied (new)
2026/08/05 19:03:47 INFO  : audios_processados/Clip 14_20260728_132828: Copied (new)
2026/08/05 19:03:48 INFO  : audios_processados/Clip 14_20260730_161444: Copied (new)
2026/08/05 19:03:48 INFO  : audios_processados/Clip 14_20260803_161625: Copied (new)
2026/08/05 19:03:48 INFO  : audios_processados/Clip 14_20260804_151827: Copied (new)
2026/08/05 19:03:49 INFO  : audios_processados/Clip 14_20260805_124229: Copied (new)
2026/08/05 19:03:50 INFO  : audios_processados/Clip 15_20260718_100548: Copied (new)
2026/08/05 19:03:50 INFO  : audios_processados/Clip 15_20260718_230553: Copied (new)
2026/08/05 19:03:51 INFO  : audios_processados/Clip 15_20260719_205229: Copied (new)
2026/08/05 19:03:51 INFO  : audios_processados/Clip 14_20260805_010044: Copied (new)
2026/08/05 19:03:52 INFO  : audios_processados/Clip 15_20260718_042940: Copied (new)
2026/08/05 19:03:52 INFO  : audios_processados/Clip 15_20260720_142433: Copied (new)
2026/08/05 19:03:53 INFO  : audios_processados/Clip 15_20260722_184822: Copied (new)
2026/08/05 19:03:54 INFO  : audios_processados/Clip 15_20260723_030619: Copied (new)
2026/08/05 19:03:55 INFO  : audios_processados/Clip 15_20260723_123840: Copied (new)
2026/08/05 19:03:55 INFO  : audios_processados/Clip 15_20260724_013151: Copied (new)
2026/08/05 19:03:56 INFO  : audios_processados/Clip 15_20260726_133514: Copied (new)
2026/08/05 19:03:57 INFO  : audios_processados/Clip 15_20260727_003139: Copied (new)
2026/08/05 19:03:58 INFO  : audios_processados/Clip 15_20260727_153514: Copied (new)
2026/08/05 19:03:58 INFO  : audios_processados/Clip 15_20260728_133746: Copied (new)
2026/08/05 19:03:58 INFO  : audios_processados/Clip 14_20260718_042904: Copied (new)
2026/08/05 19:03:59 INFO  : audios_processados/Clip 15_20260803_170341: Copied (new)
2026/08/05 19:03:59 INFO  : audios_processados/Clip 15: Copied (new)
2026/08/05 19:03:59 INFO  : audios_processados/Clip 15_20260805_010447: Copied (new)
2026/08/05 19:04:00 INFO  : audios_processados/Clip 16: Copied (new)
2026/08/05 19:04:30 INFO  : audios_processados/Clip 15_20260805_132541: Copied (new)
2026/08/05 19:04:32 INFO  : audios_processados/Clip 16_20260723_124846: Copied (new)
2026/08/05 19:04:34 INFO  : audios_processados/Clip 16_20260726_133552: Copied (new)
2026/08/05 19:04:36 INFO  : audios_processados/Clip 16_20260727_004648: Copied (new)
2026/08/05 19:04:37 INFO  : audios_processados/Clip 16_20260727_153616: Copied (new)
2026/08/05 19:04:39 INFO  : audios_processados/Clip 16_20260722_184858: Copied (new)
2026/08/05 19:04:39 INFO  : audios_processados/Clip 16_20260719_205311: Copied (new)
2026/08/05 19:04:39 INFO  : audios_processados/Clip 16_20260720_142551: Copied (new)
2026/08/05 19:04:39 INFO  : audios_processados/Clip 16_20260722_130621: Copied (new)
2026/08/05 19:04:39 INFO  : audios_processados/Clip 16_20260723_030733: Copied (new)
2026/08/05 19:04:39 INFO  : audios_processados/Clip 16_20260728_134224: Copied (new)
2026/08/05 19:04:39 INFO  : audios_processados/Clip 15_20260730_161608: Copied (new)
2026/08/05 19:04:40 INFO  : audios_processados/Clip 15_20260722_125034: Copied (new)
2026/08/05 19:04:41 INFO  : audios_processados/Clip 16_20260730_161745: Copied (new)
2026/08/05 19:04:41 INFO  : audios_processados/Clip 16_20260803_171212: Copied (new)
2026/08/05 19:04:41 INFO  : audios_processados/Clip 16_20260805_010557: Copied (new)
2026/08/05 19:04:41 INFO  : audios_processados/Clip 16_20260805_132738: Copied (new)
2026/08/05 19:04:41 INFO  : audios_processados/Clip 17: Copied (new)
2026/08/05 19:04:41 INFO  : audios_processados/Clip 17_20260720_142929: Copied (new)
2026/08/05 19:04:41 INFO  : audios_processados/Clip 17_20260719_205415: Copied (new)
2026/08/05 19:04:42 INFO  : audios_processados/Clip 17_20260722_130905: Copied (new)
2026/08/05 19:04:43 INFO  : audios_processados/Clip 17_20260722_185426: Copied (new)
2026/08/05 19:04:43 INFO  : audios_processados/Clip 17_20260723_031028: Copied (new)
2026/08/05 19:04:43 INFO  : audios_processados/Clip 17_20260724_104619: Copied (new)
2026/08/05 19:04:43 INFO  : audios_processados/Clip 17_20260726_133730: Copied (new)
2026/08/05 19:04:43 INFO  : audios_processados/Clip 17_20260724_141814: Copied (new)
2026/08/05 19:04:43 INFO  : audios_processados/Clip 17_20260725_041054: Copied (new)
2026/08/05 19:04:44 INFO  : audios_processados/Clip 17_20260727_005530: Copied (new)
2026/08/05 19:04:44 INFO  :   138.060 MiB / 616.550 MiB, 22%, 847.915 KiB/s, ETA 9m37s (xfr#166/1883)
2026/08/05 19:04:44 INFO  : audios_processados/Clip 17_20260727_153958: Copied (new)
2026/08/05 19:04:44 INFO  : audios_processados/Clip 17_20260723_125021: Copied (new)
2026/08/05 19:04:44 INFO  : audios_processados/Clip 17_20260728_134440: Copied (new)
2026/08/05 19:04:45 INFO  : audios_processados/Clip 17_20260730_173729: Copied (new)
2026/08/05 19:04:45 INFO  : audios_processados/Clip 17_20260803_172157: Copied (new)
2026/08/05 19:04:45 INFO  : audios_processados/Clip 17_20260805_010809: Copied (new)
2026/08/05 19:04:45 INFO  : audios_processados/Clip 17_20260805_133035: Copied (new)
2026/08/05 19:04:46 INFO  : audios_processados/Clip 18: Copied (new)
2026/08/05 19:04:46 INFO  : audios_processados/Clip 18_20260719_210249: Copied (new)
2026/08/05 19:04:46 INFO  : audios_processados/Clip 18_20260722_131110: Copied (new)
2026/08/05 19:04:46 INFO  : audios_processados/Clip 18_20260720_143252: Copied (new)
2026/08/05 19:04:46 INFO  : audios_processados/Clip 18_20260722_185606: Copied (new)
2026/08/05 19:04:46 INFO  : audios_processados/Clip 18_20260724_114419: Copied (new)
2026/08/05 19:04:47 INFO  : audios_processados/Clip 18_20260723_033415: Copied (new)
2026/08/05 19:04:47 INFO  : audios_processados/Clip 18_20260723_125643: Copied (new)
2026/08/05 19:04:48 INFO  : audios_processados/Clip 18_20260724_141859: Copied (new)
2026/08/05 19:04:48 INFO  : audios_processados/Clip 18_20260725_110956: Copied (new)
2026/08/05 19:04:48 INFO  : audios_processados/Clip 18_20260726_133931: Copied (new)
2026/08/05 19:04:48 INFO  : audios_processados/Clip 18_20260727_005728: Copied (new)
2026/08/05 19:04:48 INFO  : audios_processados/Clip 18_20260727_154345: Copied (new)
2026/08/05 19:04:49 INFO  : audios_processados/Clip 18_20260728_134556: Copied (new)
